2023-03-23 01:17:39:1739 [Debug]  /Users/Login: 0ms.
2023-03-23 01:18:01:181 [Debug]  /Users/Login: 1ms.
2023-03-23 01:18:13:1813 [Debug]  /Users/Login: 1ms.
2023-03-23 01:18:54:1854 [Debug]  /error.html: 0ms.
2023-03-23 01:28:40:2840 [Debug]  /error.html: 0ms.
2023-03-23 01:28:57:2857 [Debug]  /error.html: 0ms.
2023-03-23 01:29:06:296 [Debug]  /index.html: 1ms.
2023-03-23 01:29:06:296 [Debug]  /login.js: 3ms.
2023-03-23 01:29:17:2917 [Debug]  /Users/Login: 1ms.
2023-03-23 01:29:48:2948 [Debug]  /index.html: 0ms.
2023-03-23 01:29:48:2948 [Debug]  /login.js: 0ms.
2023-03-23 01:35:16:3516 [Debug]  /index.html: 1ms.
2023-03-23 01:35:16:3516 [Debug]  /login.js: 0ms.
2023-03-23 01:35:46:3546 [Debug]  /Users/Login: 1ms.
2023-03-23 01:37:02:372 [Debug]  /Users/Login: 1ms.
2023-03-23 01:37:53:3753 [Debug]  /TaskManagement: 1ms.
2023-03-23 01:37:53:3753 [Debug]  /TaskManagement: 7ms.
2023-03-23 01:38:38:3838 [Debug]  /TaskManagement/GetUser: 0ms.
2023-03-23 01:38:38:3838 [Debug]  /TaskManagement/GetUser: 2ms.
2023-03-23 01:40:50:4050 [Debug]  /index.html: 48ms.
2023-03-23 01:40:50:4050 [Debug]  /login.js: 15ms.
2023-03-23 01:41:15:4115 [Debug]  /Users/Login: 227ms.
2023-03-23 01:42:08:428 [Debug]  /index.html: 3ms.
2023-03-23 01:42:08:428 [Debug]  /login.js: 2ms.
2023-03-23 01:42:13:4213 [Debug]  /index.html: 0ms.
2023-03-23 01:42:13:4213 [Debug]  /login.js: 0ms.
2023-03-23 01:42:32:4232 [Debug]  /Users/Login: 3ms.
